Date,TSF8,TSF7,Rainfall
2025-01,0.2326,0,50.2
2025-02,0.6586,0.2551,289.2
2025-03,0.4493,0,0.2
2025-04,0.3773,0,5.7
2025-05,0.0943,0,0
2025-06,0.2958,0,6.8
2025-07,0.2801,0,2.4
2025-08,0.2379,0,0
2025-09,0.2855,0,0
