Easting (m),Northing (m),Elevation (m),Date_Time (Local)(UTC+8),Diplacement (m),Diplacement (mm),Cummulative Diplacement (mm),Velocity (mm/day),ID,RiskRating,Area
58715.78803,13571.3404,5420.937616,01-07-25,0.062204787,62.2047866,8.204786597,0.265071134,W5-5420E001,Creeping,W5
58771.57192,13475.78054,5422.151823,01-07-25,0.062577716,62.57771641,7.577716409,0.140761197,W5-5420E003,Creeping,W5
58793.80234,13434.17729,5421.466776,01-07-25,0.070320001,70.32000121,8.320001206,-0.021134804,W5-5420E004,Creeping,W5
58821.12259,13406.02924,5421.520704,01-07-25,0.080820403,80.82040289,10.82040289,-0.27346763,W5-5420E005,Creeping,W5
58855.49453,13389.75419,5421.953255,01-07-25,0.115813019,115.8130186,17.81301857,-0.27100619,W5-5420E006,Creeping,W5
58923.02461,13371.85214,5421.262349,01-07-25,0.02646312,26.46311974,6.701190681,0.845626754,W5-5420E007,Apparent Regressive,W5
58483.76009,13319.72818,5277.115555,01-07-25,0.010283056,10.28305591,36.39561895,0.238981362,W8-5276N001,Apparent Regressive,W8
58846.68728,12858.66122,5445.810923,01-07-25,-0.002996172,-2.996171754,-14.17049635,-0.334609415,W8-5444E002,Apparent Regressive,W8
58908.83256,12941.07941,5445.018514,01-07-25,-0.000643811,-0.643810983,-29.3455286,-0.452063006,W8-5444E004,Apparent Regressive,W8
58948.7385,12978.91152,5445.288323,01-07-25,0.000145764,0.145764265,-15.91724817,-0.381921422,W8-5444E005,Apparent Regressive,W8
58567.24475,12839.38941,5277.158693,01-07-25,0.036143851,36.14385122,-129.0407544,-1.491847588,S2-5276E005,Apparent Progressive,S2
58614.03709,12821.07982,5349.695407,01-07-25,0.03021318,30.21317993,6.828033293,0.025629377,S2-5348E013,Creeping,S2
58649.92836,13455.36549,5361.311317,01-07-25,0.161268099,161.2680992,154.2680992,1.61142384,W5-5360E001,Apparent Progressive,W5
58526.28154,13484.73808,5373.468378,01-07-25,0.035512419,35.51241927,15.51241927,0.13502397,W5-5372E003,Creeping,W5
58845.00214,13630.45556,5493.670198,01-07-25,-0.009475522,-9.475522003,-30.475522,-0.411416302,W5-5492E002,Apparent Progressive,W5
